timestamp,open,high,low,close,volume
2023-12-07,0.15,4.94,0.15,2.3936,126427052.7
2023-12-08,2.3935,3.77,2.3722,3.5794,218161446.6
2023-12-09,3.5794,4.45,3.2275,3.3499,142849533.3
2023-12-10,3.3499,3.74,3.17,3.455,67453495.0
2023-12-11,3.4553,3.47,2.5412,3.0028,67623014.6
2023-12-12,3.0032,3.3555,2.792,2.9607,54414281.4
2023-12-13,2.9606,2.985,2.6,2.836,39287095.2
2023-12-14,2.8349,3.46,2.715,3.4552,61268666.1
2023-12-15,3.4576,3.6277,2.8,2.8381,72838328.8
2023-12-16,2.8386,3.2,2.7964,2.9249,34650006.4
2023-12-17,2.9241,2.9665,2.689,2.7041,25773740.0
2023-12-18,2.7049,2.7426,2.2232,2.5054,40083686.2
2023-12-19,2.5062,2.6551,2.3331,2.3739,30475352.9
2023-12-20,2.3742,2.8262,2.3294,2.657,43017609.0
2023-12-21,2.6557,2.8951,2.551,2.8213,38344796.0
2023-12-22,2.8221,2.942,2.45,2.6008,34051743.9
2023-12-23,2.6008,2.6612,2.4851,2.6296,17315524.3
2023-12-24,2.6297,2.723,2.3521,2.4482,24584505.5
2023-12-25,2.4484,2.9074,2.4196,2.7486,31208354.3
2023-12-26,2.7486,2.8649,2.3,2.5193,26791330.4
2023-12-27,2.5193,2.5359,2.411,2.4497,17511614.3
2023-12-28,2.4485,2.5085,2.2439,2.317,14231689.1
2023-12-28,2.4485,2.5085,2.2439,2.317,14231689.1
