timestamp,open,high,low,close,volume
2023-01-18,25.66,42.9,25.66,31.48,657936.66
2023-01-19,31.44,34.48,30.53,32.49,204406.04
2023-01-20,32.49,38.0,32.25,37.52,254152.15
2023-01-21,37.61,38.2,33.88,34.87,112109.43
2023-01-22,35.05,36.43,33.97,34.18,59849.77
2023-01-23,34.32,37.43,34.16,36.63,90787.56
2023-01-24,36.71,42.4,35.16,36.6,209994.35
2023-01-25,36.73,40.58,35.59,40.26,82528.7
2023-01-26,40.16,41.13,38.17,38.84,65052.69
2023-01-27,38.84,39.8,37.5,39.54,56824.97
2023-01-28,39.54,40.44,37.77,37.83,29712.83
2023-01-29,37.84,40.65,37.81,40.16,33046.98
2023-01-30,40.19,40.49,37.06,37.6,38240.46
2023-01-31,37.55,39.15,37.42,38.1,23760.89
2023-02-01,38.25,40.14,36.41,39.86,50839.97
2023-02-02,39.86,44.28,39.77,41.67,87976.78
2023-02-03,41.67,43.84,40.29,41.02,62306.0
2023-02-04,41.02,41.35,39.77,40.41,37189.82
2023-02-05,40.43,40.6,38.28,38.9,29396.1
2023-02-06,38.88,44.04,38.66,40.58,183703.43
2023-02-07,40.57,44.2,40.55,43.16,132709.89
2023-02-08,43.15,44.0,39.68,41.28,65852.32
2023-02-09,41.33,52.3,41.08,49.05,460742.42
2023-02-10,49.04,56.6,44.5,45.48,365045.14
2023-02-11,45.49,47.37,43.51,46.3,89290.83
2023-02-12,46.3,48.46,44.03,46.38,90538.07
2023-02-13,46.38,46.38,38.66,41.86,120023.21
2023-02-14,41.86,43.7,40.5,42.67,75970.1
2023-02-15,42.73,48.28,42.26,47.57,66599.58
2023-02-16,47.6,49.7,44.74,46.41,86123.18
2023-02-17,46.54,57.99,46.0,51.62,221859.63
2023-02-18,51.68,56.0,50.6,53.65,108090.36
2023-02-19,53.67,55.35,50.48,50.98,60872.11
2023-02-20,51.0,52.0,49.5,49.7,38956.85
2023-02-21,49.83,50.38,46.7,47.85,63063.17
2023-02-22,47.85,50.22,45.07,50.1,90035.51
2023-02-23,50.01,53.38,48.5,49.81,75576.03
2023-02-24,49.79,50.42,46.3,46.8,41565.12
2023-02-25,46.81,47.98,45.8,47.67,32214.67
2023-02-26,47.65,50.0,47.37,49.79,45618.33
2023-02-27,49.85,50.4,47.53,48.56,47630.83
2023-02-28,48.56,49.07,46.18,46.49,35585.83
2023-03-01,46.49,49.33,45.51,47.02,89089.33
2023-03-02,47.02,47.25,42.81,44.19,48770.02
2023-03-03,44.23,44.35,40.55,41.08,67690.62
2023-03-04,41.08,41.3,39.1,39.16,29866.09
2023-03-05,39.16,41.28,39.12,40.12,30636.28
2023-03-06,40.14,40.29,38.71,38.81,20993.88
2023-03-07,38.84,38.91,36.07,36.96,44612.41
2023-03-08,36.96,37.82,36.15,37.03,28838.66
2023-03-09,37.03,38.39,35.55,36.68,38015.14
2023-03-10,36.71,36.87,33.2,35.38,54551.98
2023-03-11,35.39,36.5,30.97,34.17,76592.52
2023-03-12,34.18,37.33,32.98,37.12,46755.65
2023-03-13,37.16,43.02,36.6,42.85,66662.75
2023-03-14,42.81,45.7,41.73,42.88,63734.85
2023-03-15,42.89,43.7,37.93,38.61,57421.92
2023-03-16,38.59,41.52,36.93,41.23,58649.74
2023-03-17,41.21,43.47,40.77,43.32,34571.44
2023-03-18,43.29,44.46,42.03,42.18,23588.18
2023-03-19,42.14,44.17,41.76,42.86,19158.43
2023-03-20,42.91,43.02,40.5,40.55,20976.84
2023-03-21,40.52,42.35,39.74,40.9,26118.27
2023-03-22,40.87,40.93,37.62,38.36,29752.07
2023-03-23,38.32,40.49,38.21,40.15,22967.73
2023-03-24,40.16,40.16,37.84,38.09,22001.07
2023-03-25,38.09,38.83,37.62,38.46,9267.93
2023-03-26,38.49,43.34,38.39,42.2,68876.68
2023-03-27,42.25,43.11,39.41,40.22,30534.37
2023-03-28,40.25,47.65,39.9,45.62,114877.28
2023-03-29,45.64,46.8,45.05,45.67,33055.72
2023-03-30,45.63,46.56,39.59,42.91,196860.91
2023-03-31,42.91,45.0,42.57,44.02,28466.69
2023-04-01,43.97,45.0,43.45,44.66,16988.0
2023-04-02,44.71,45.34,42.69,43.59,21933.48
2023-04-03,43.58,44.61,42.52,43.13,27941.53
